,Unnamed: 0,PROGRAM.TYPE,PROGRAM,SITE.NAME,BOROUGH...COMMUNITY,AGENCY,Contact.Number,Grade.Level...Age.Group,Location.1,Postcode,Latitude,Longitude
859,860,After-School Programs,Out of School Time,P.S. 203 FLOYD BENNETT SCHOOL,Brooklyn,Bergen Beach Youth Organization,(917) 538-3776,Elementary,"5101 Avenue
M ",11234,40.621435999999996,-73.925989
860,861,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Queens Community House,Queens,The Legal Aid Society,212-577-3292 ,All Ages,108 25 62nd Drive,11375,40.73591,-73.850212
861,862,After-School Programs,Out of School Time,William Bryant HS,Queens,"Global Kids, Inc.",(212) 226-0130,High School,48 10 31st Avenue,11103,40.75823,-73.910514
862,863,After-School Programs,Beacon,IS 96,Brooklyn,Federation of Italian American Organizations of Brooklyn Inc. ,718.232.2266,6 and up,"99 Avenue
P ",11204,40.60754,-73.984661
863,864,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,8635 21st Avenue,11214,40.602524,-73.996827
864,865,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,285 Vanderbilt Avenue,10304,40.618105,-74.08066
865,866,After-School Programs,Out of School Time,I.S. 217 MS,Bronx,"Simpson Street Development Association, Inc.",(718) 589-1510,Middle School,977 Fox Street,10459,40.822443,-73.893902
866,867,"Jobs & Internships,Youth Employment",Summer Youth Employment,"Alianza Dominicana, Inc. - Manhattan",Manhattan,"Alianza Dominicana, Inc. - Manhattan",212.740.1960,14 to 24,"2410 Amsterdam Avenue
flr ",10033,40.847177,-73.93159
867,868,After-School Programs,Out of School Time,CPCS,Brooklyn,CAMBA  ,(646) 773-1495,Elementary,241 Emerson Place,11205,40.690202,-73.961478
869,870,After-School Programs,Out of School Time,School International Studies,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,284 Baltic St,11201,40.685419,-73.993351
870,871,After-School Programs,Out of School Time,I.S. 93 RIDGEWOOD INTERMEDIATE,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,Middle School,66 56 Forest Avenue,11385,40.706041,-73.90258399999999
871,872,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Boulevard Houses Senior Center,Brooklyn,YMPJ,(718) 345-5665,Seniors,726 Stanley Avenue,11207,40.660225,-73.881862
872,873,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Friends of Crown Hgts,Brooklyn,Friends of Crown Heights Educational Center,(718) 467-4270,OST,36 Ford Street,11213,40.664905,-73.929282
873,874,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Flatbush Development Corporation,Brooklyn,Jacob Riis Neighborhood Settlement House,(718) 859-3800,Middle School,1616 Newkirk Avenue,11226,40.63604,-73.962241
874,875,"Family Support,NDA Programs", Housing,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,MOTT HALL IV (K522),(718) 377-2900,Adults,1550 Coney Island Avenue,11230,40.619517,-73.96418800000001
875,876,"Family Support,NDA Programs", Housing,Astella Development Corporation,Brooklyn,Baisley Park Houses,(718) 266-4653,Adults,1618 Mermaid Avenue,11224,40.576703,-73.98400600000001
877,878,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./M.S. 75 P.S. 75,Bronx,Episcopal Social Services,(718) 328-5626,OST,984 FAILE STREET,10459,40.822719,-73.88943499999999
878,879,After-School Programs,Out of School Time,P.S. 48 JOSEPH R. DRAKE SCHOOL,Bronx,"Police Athletic League, Inc.",(718) 589-0239,Elementary,1290 SPOFFORD AVENUE,10474,40.814425,-73.886953
879,880,After-School Programs,Out of School Time,I.S. 220 JOHN J. PERSHING SCHOOL,Brooklyn,Chinese American Planning Council,(718) 436-5270,Middle School,4812 9th Avenue,11220,40.640545,-74.000731
880,881,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,(718) 681-2222,16+,1038 Ogden Avenue,10452,40.833827,-73.928861
881,882,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Crown Heights Community Mediation,Brooklyn,The Legal Aid Society,212-577-3292 ,All Ages,256 Kingston Avenue,11213,40.6708,-73.942077
882,883,After-School Programs,Out of School Time,Sesame Flyers Int.,Brooklyn,"Sesame Flyers International, Inc.",(718) 693-0500,High School,3510 Church Avenue,11203,40.651066,-73.94455500000001
883,884,"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,St. Raymond Community Outreach,(718) 377-2900,Seniors,1550 Coney Island Avenue,11230,40.619517,-73.96418800000001
884,885,After-School Programs,Out of School Time,Sephardic Center,Brooklyn,Sephardic Community Center,(718) 954-3145,Middle School,1901 Ocean Parkway,11223,40.602109999999996,-73.966289
885,886,After-School Programs,Out of School Time,Edgies,Manhattan,"Educational Alliance, Inc.",(212) 780-2300,MS/HS,197 Broadway,10007,40.710583,-74.009339
886,887,After-School Programs,Out of School Time,Nan Shan LDC,Queens,Chinese American Planning Council,(718) 358-8899,High School,136 18 39th Avenue,11354,40.760329999999996,-73.829831
887,888,After-School Programs,Beacon,JHS 141,Queens,Goodwill Industries of Greater NY,718.777.9200,6 and up,37 11 21st Avenue,11105,40.775589000000004,-73.90509
888,889,"Jobs & Internships,Youth Employment",Summer Youth Employment ,CIS 117,Bronx,Community Association of Progressive Dominicans - Bronx,718-716-4021,14 to 24,1865 Morris Avenue,10453,40.848516,-73.908427
889,890,"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),"Church Avenue Merchants Block Association, Inc.",Brooklyn,Church Avenue Merchant Block Association,718.462.4244,16 to 21,2211 Church Avenue,11226,40.650424,-73.958175
890,891,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Church Avenue Merchants Block Association, Inc.",Brooklyn,"Church Avenue Merchants Block Association, Inc.",718-462-2597 ,14 to 24,1957 Nostrand Ave,11210,40.637710999999996,-73.94815899999999
891,892,After-School Programs,Out of School Time,P.S. 19 ASHER LEVY SCHOOL,Manhattan,Institute for Labor and the Community,(212) 505-3184,Elementary,185 1st Avenue,10003,40.729636,-73.983818
892,893,After-School Programs,Out of School Time,P.S. 50 TALFOURD LAWN SCHOOL,Queens,"Catholic Charities Neighborhood Services, Inc.",(718) 526-5336,Elementary,143 26 101st Avenue,11435,40.695238,-73.807364
893,894,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 112 BRONXWOOD SCHOOL,Bronx,Phipps Community Development,(718) 654-6377,OST,1925 Schieffelin Ave,10466,40.885008,-73.843193
894,895,After-School Programs,Teen Action Program,"MS 201 - School of Theatre, Arts and Research",Bronx,"City Year, Inc.",646.452.3624,13 to 21,730 Bryant Avenue,10474,40.815477,-73.88577
895,896,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 327 DR. ROSE B. ENGLISH S,Brooklyn,YWCA of the City of New York (Main Branch),(718) 495-7801,OST,111 Bristol Street,11212,40.668475,-73.912351
896,897,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 174 DUMONT SCHOOL,Brooklyn,Brooklyn Bureau of Community Services,(347) 834-3096,Elementary,574 Dumont Avenue,11207,40.665797999999995,-73.897723
897,898,After-School Programs,Teen Action Program,Academy of Applied Mathematics and Technology (X343),Bronx,"Aspira of New York, Inc.",212.564.6880 ext.102,13 to 21,345 Brook Avenue,10454,40.81004,-73.917792
898,899,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA BETANCES HOUSES,Bronx,Aspira of New York @Dr. Ramon E. Betances VI Community Center,(718) 585-5040,6 and up,465 St Ann's Avenue,10455,40.812488,-73.914357
899,900,After-School Programs,Teen Action Program,Beginning with Children Charter School,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718.389.1810,13 to 21,185 Ellery Street,11206,40.698869,-73.945042
900,901,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,I S 364 GATEWAY (K364),Brooklyn,Make the Road New York,(347) 417-8180,Middle School,1426 FREEPORT LOOP,11239,40.645806,-73.881671
901,902,Jobs & Internships,Young Adult Internship Program,Henry Street Settlement,Manhattan,Henry Street Settlement,212.473.1474,16 to 24,367 Madison Street,10002,40.713395,-73.982282
902,903,After-School Programs,Out of School Time,P.S. 41 NEW DORP SCHOOL,Staten Island,"Police Athletic League, Inc.",(718) 720-8592,Elementary,216 Clawson Street,10306,40.574044,-74.109282
903,904,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 215 LUCRETIA MOTT SCHOOL,Queens,Safe Space,(347) 489-0857,OST,535 Briar Place,11691,40.5993,-73.758206
904,905,After-School Programs,Out of School Time,P.S. 212 P.S. 212,Queens,Hellenic American Neighborhood Action Committee (HANAC),(718) 898-6973,Elementary,34 25 82 Street,11372,40.753078,-73.884906
905,906,After-School Programs,Out of School Time,CYO,Staten Island,"Catholic Charities Community Service, Archdiocese of N Y",(718) 448-4949,Elem/MS,120 Anderson Avenue,10302,40.634927000000005,-74.134422
906,907,After-School Programs,Out of School Time,Academy of Amerian,Queens,"Global Kids, Inc.",(212) 226-0130,High School,28 01 41st Avenue,11101,40.751356,-73.937445
907,908,After-School Programs,Out of School Time,Haitian American (Sterling pl),Brooklyn,Haitian American ,(718) 771-3800,Elementary,813 Sterling Place,11216,40.672613,-73.95161
908,909,After-School Programs,Out of School Time,Generation Q,Queens,"Queens Community House, Inc",(718) 592-5757,High School,30 74 Steinway Street,11103,40.762178999999996,-73.916404
909,910,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Ridgwood Bushwick,Brooklyn,Ridgewood Bushwick Senior Citizens Council,(718) 381-9653,Elementary,1474 Gates Avenue,11237,40.697788,-73.91390600000001
910,911,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),"Beth Chana, Ltd",Brooklyn,National Society For Hebrew Day Schools,212.227.1000,High School,712 Bedford Avenue,11206,40.699546999999995,-73.957145
911,912,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Goodwill Industries Greater NY-NJ (Admin & Activity site),Brooklyn,Goodwill Industries of Greater New York,718.339.0937,11+,"1416 Avenue
M (Admin & Activity site ",11230,40.617962,-73.960396
912,913,After-School Programs,Out of School Time,P.S. 249 CATON SCHOOL,Brooklyn,CAMBA  ,(347) 581-4662,Elementary,18 Marlborough Road,11226,40.64971,-73.96604599999999
913,914,After-School Programs,Out of School Time,P.S. 32 SAMUEL MILLS SPROLE SC,Brooklyn,Good Shepherd Services,(718) 625-5876,Middle School,317 Hoyt Street,11231,40.680445,-73.991949
914,915,After-School Programs,Out of School Time,School Settlment,Brooklyn,School Settlement,(718) 389-1810,Elementary,120 Jackson Street,11211,40.71645,-73.94673399999999
915,916,After-School Programs,Teen Action Program,JHS 220 John J Pershing,Brooklyn,Chinese American Planning Council,718.358.8899 ext.131,13 to 21,4812 Ninth Avenue,11220,40.640545,-74.000731
916,917,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Italian American Civil Rights League,Brooklyn,Italian American Civil Rights League,718-642-2180 ,14 to 24,1460 Pennsylvania Avenue,11239,40.646068,-73.879786
918,919,After-School Programs,Out of School Time,PS 9,Brooklyn,New York Junior Tennis League,(347) 417-8189,Elementary,80 Underhill Avenue,11238,40.678297,-73.965541
919,920,After-School Programs,Out of School Time,Riverdale House,Bronx,"Riverdale Neighborhood House, Inc.",(718) 549-8100,High School,5521 Mosholu Avenue,10471,40.903039,-73.90375
920,921,"Jobs & Internships,Youth Employment",Summer Youth Employment ,St. Nicholas Neighborhood Preservation Corporation,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718-599-9224 ,14 to 24,850 Grand Street,11211,40.712184,-73.939722
921,922,After-School Programs,Out of School Time,I.S. 292 MARGARET S. DOUGLAS S,Brooklyn,Groundwork Inc.,(718) 346-2200,Middle School,300 Wyona Street,11207,40.671544,-73.892844
922,923,After-School Programs,Out of School Time,El Puente,Brooklyn,El Puente De Williamsburg,(718) 452-0404,High School,311 Central Avenue,11221,40.695328,-73.920296
923,924,After-School Programs,Out of School Time,P.S. 188 MICHAEL E. BERDY SCHOOL,Brooklyn,YWCA of the City of New York (Main Branch),(347) 835-0952,Elementary,3314 Neptune Avenue,11224,40.577217,-74.000194
924,925,After-School Programs,Out of School Time,P.S. 229 EMANUEL KAPLAN SCHOOL,Queens,"Maspeth Town Hall, Inc.",(718) 446-2120,Elementary,67 25 51st Road,11377,40.734294,-73.89755699999999
925,926,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Lutheran Family Health Centers Adult & Family Education,Brooklyn,Lutheran Family Health Centers Adult & Family Education,(718) 630-7150 x 4070,16+,330 59th Street,11220,40.642121,-74.018997
927,928,After-School Programs,Out of School Time,P.S. 13 MARGARET L. LINDEMEYER,Staten Island,"Police Athletic League, Inc.",(718) 720-8718,High School,191 Vermont Avenue,10305,40.613215999999994,-74.069889
928,929,"Family Support,NDA Programs", Housing,BCA Main Community Services Center,Brooklyn,South Jamaica Houses,(718) 438-0008,Adults,5000 8th Ave,11220,40.641036,-74.00380899999999
929,930,After-School Programs,Out of School Time,Caring Partners,Manhattan,"Isabella Geriatric Center, Inc.",(212) 342-9352,High School,515 Audubon Avenue,10040,40.854783000000005,-73.927909
930,931,"Immigration Services,Immigrant Support Services",Legal Assistance Program,The Lower Manhattan Neighborhood Office,Manhattan,The Legal Aid Society,212-577-3292 ,All Ages,199 Water Street,10038,40.70727,-74.00431400000001
931,932,After-School Programs,Out of School Time,H.S. 561 WILLIAMSBURG PREPARAT,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,257 6th Street,11215,40.672411,-73.987711
932,933,"NDA Programs,Senior Programs,Older Adult Program",Seniors,South Jamaica Houses,Queens,IS 252 ARTHUR S SOMMERS (K252),(800) 624-8474,Seniors,106 62 160th Street,11433,40.697790999999995,-73.794832
933,934,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 178 HOLLISWOOD SCHOOL,Queens,"Samuel Field YM & YWHA, Inc.",(718) 225-6750,OST,189 10 RADNOR ROAD,11423,40.724478999999995,-73.777454
934,935,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 20 ANNA SILVER SCHOOL,Manhattan,Henry Street Settlement,(212) 254-3100,Elementary,166 Essex Street,10002,40.721540000000005,-73.986648
936,937,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 124 SILAS DUTCHER SCHOOL,Brooklyn,YMCA of Greater New York/Prospect Park,(718) 788-0246,OST,515 4th AVENUE,11215,40.667545000000004,-73.991046
937,938,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 225 SEASIDE SCHOOL,Queens,Bergen Basin Community Development Corp.,(917) 626-4703,Elementary,1 90 BEACH 110 STREET,11694,40.580928,-73.831836
938,939,After-School Programs,Out of School Time,I.S. 162 IS 162 LOLA RODRIGUEZ,Bronx,"Sports and Arts In Schools Foundation, Inc.",(917) 593-2661,Middle School,600 St Ann's Avenue,10455,40.815498,-73.91224
939,940,After-School Programs,Out of School Time,P.S. 269 NOSTRAND SCHOOL,Brooklyn,CAMBA  ,(718) 462-2597,Elementary,1957 Nostrand Avenue,11210,40.637710999999996,-73.94815899999999
940,941,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jackson Heights Program,Queens,"Queens Community House, Inc.",718.592.5757 or 718.898.7461,Adult,74 09 37th Avenue (Jackson Heights,11372,40.748992,-73.891561
941,942,After-School Programs,Out of School Time,I.S. 61 LEONARDO DA VINCI SCHOOL,Queens,"Sports and Arts In Schools Foundation, Inc.",(347) 458-2405,Middle School,98 50 50th Avenue,11368,40.742668,-73.86330699999999
943,944,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 89 CYPRESS HILLS COM,Brooklyn,Cypress Hills Local Development Corporation,(718) 277-3522,OST,350 Linwood Street,11208,40.677104,-73.883433
944,945,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Intermediate School 93 - Ridgewood Intermediate School,Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,66 56 Forest Avenue,11385,40.706041,-73.90258399999999
945,946,After-School Programs,Out of School Time,Navy Yard,Brooklyn,Madison Square Boys & Girls Club,(718) 625-4295,Middle School,240 Nassau Street,11201,40.698315,-73.981993
946,947,After-School Programs,Out of School Time,I.S. 77 I.S. 77,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,Middle School,976 Seneca Avenue,11385,40.699515999999996,-73.90214
947,948,After-School Programs,Out of School Time,Beach 41st Club (high school),Queens,Madison Square Boys & Girls Club,(718) 471-5453,High School,426 Beach 40th Street,11691,40.596249,-73.772408
948,949,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Sedgwick Houses,Bronx,"The Friends of Crown Heights Educational Centers, Inc.",(718) 542-0006,Seniors,1553 University Avenue,10453,40.846111,-73.921662
949,950,"Family Support,NDA Programs",Fatherhood Initiative,Coalition for Hispanic Family Services ,Brooklyn,Coalition for Hispanic Family Services,718.497.6090,16 to 24,315 Wyckoff Avenue,11237,40.700045,-73.91198100000001
950,951,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Mount Hope Housing After School,Bronx,Mount Hope Housing Company,(718) 583-6917,Elementary,1822 Davidson Avenue,10453,40.849743,-73.91200699999999
951,952,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),SCO Family Services/Center for Family Life,Brooklyn,SCO Family of Services,516.671.1253,High School,345 43rd Street,11232,40.651013,-74.009514
952,953,After-School Programs,Out of School Time,P.S. 139 ALEXINE A. FENTY SCHOOL,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 469-4395,Elementary,330 Rugby Road,11226,40.641937,-73.965523
953,954,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Turning Point Education Center,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",(718) 360-8171,16+,5013 7th Avenue,11220,40.642307,-74.006043
954,955,"Family Support,NDA Programs",Health Stat Initiative,Asian Americans for Equality,Queens,Asian Americans for Equality,718.961.0888,All Ages,133 04 39th Ave,11354,40.75909,-73.834194
955,956,After-School Programs,Beacon,JHS 189,Queens,Flushing YMCA,718.961.6014,6 and up,144 80 Barclay Avenue,11355,40.759844,-73.820548
956,957,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 166 HENRY GRADSTEIN SCHOO,Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",(718) 361-2341,OST,33 09 35th Avenue,11106,40.757309,-73.926733
957,958,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Baisley Park Houses,Queens,CONSELYEA PREPARATORY SCHOOL (K577),(800) 624-8474,Seniors,116 45 Guy R Brewer Boulevard,11434,40.685534000000004,-73.783746
958,959,After-School Programs,Out of School Time,Haitian American (Bedford Ave),Brooklyn,Haitian American ,(718) 756-0253,Elementary,1491 Bedford Avenue,11216,40.671739,-73.954672
960,961,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 152 GWENDOLINE ALLEYNE SC,Queens,"Woodside On The Move, Inc.",(718) 476-8449,OST,33 52 62 STREET,11377,40.753037,-73.900123
961,962,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Pomonok Center,Queens,"Queens Community House, Inc",(718) 591-6060,Elementary,67 09 Kissena Boulevard,11367,40.735033,-73.81472600000001
962,963,After-School Programs,Out of School Time,J.H.S. 217 ROBERT VAN WYCK SCH,Queens,"Police Athletic League, Inc.",(718) 527-0874,High School,85 05 144th Street,11435,40.710024,-73.812508
964,965,After-School Programs,Out of School Time,C.E.S. 88 THE SIDNEY SILVERSTE,Bronx,New Settlement Apartments,(718) 538-8051,Elementary,1340 Sheridan Avenue,10456,40.837275,-73.913574
965,966,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA STAPLETON HOUSES,Staten Island,Jewish Community Center of Staten Island @Stapleton Community Center,(718) 981-0500,6 and up,210 Broad Street,10304,40.624001,-74.08144899999999
966,967,After-School Programs,Beacon,PS 11,Bronx,Alianza Dominicana Inc.,718.590.0101,6 and up,1257 Ogden Avenue,10452,40.839378,-73.925714
967,968,After-School Programs,Out of School Time,M.S. 57 THE RON BROWN ACADEMY,Brooklyn,CAMBA  ,(718) 573-2369,Middle School,125 Stuyvesant Avenue,11221,40.691274,-73.933697
968,969,After-School Programs,Out of School Time,Beginning With Children 1,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,Middle School,185 Ellery Street,11206,40.698869,-73.945042
969,970,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Latin American Integration Center,Staten Island,Make the Road New York,(718) 418-7690 x 211,16+,479 Port Richmond Avenue,10302,40.630818,-74.13918699999999
970,971,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 5 ELLEN LURIE SCHOOL,Manhattan,The Childrens Aid Society,(212) 567-5787,Elementary,3703 10th Avenue,10034,40.858990000000006,-73.922894
971,972,After-School Programs,Teen Action Program,IS 174 - Eugene T Maleska,Bronx,YMCA of Greater New York- Bronx YMCA,718.792.9736,13 to 21,456 White Plains Road,10473,40.814833,-73.85658000000001
972,973,After-School Programs,Out of School Time,I.S. 14 SHELL BANK (Middle),Brooklyn,YMCA of Greater New York/Flatbush Branch,(718) 469-8100,Middle School,2424 Batchelder Street,11235,40.593521,-73.93767199999999
973,974,After-School Programs,Out of School Time,P.S. 54 SAMUEL C. BARNES SCHOOL,Brooklyn,YMCA of Greater New York/Bedford Stuyvesant,(718) 789-1497,Elementary,195 SANFORD STREET,11205,40.693018,-73.953034
974,975,After-School Programs,Out of School Time,International HS,Queens,"Global Kids, Inc.",(212) 226-0130,High School,31 10 Thompson Avenue,11101,40.744902,-73.935022
975,976,"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 7 ELIAS BERNSTEIN SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 987-8111,OST,1270 Huguenot Avenue,10312,40.523757,-74.185941
976,977,After-School Programs,Out of School Time,P.S./I.S. 184 SHUANG WEN ACADEMY,Manhattan,Shuang Wen Academy Network,(212) 602-9700,Elem/MS,327 Cherry Street,10002,40.711549,-73.986542
977,978,After-School Programs,Out of School Time,P.S. 81 JEAN PAUL RICHTER SCHOOL,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,Elementary,559 CYPRESS AVENUE,11385,40.703765000000004,-73.91234399999999
978,979,"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 199Q - Maurice Fitzgerald,Queens,"Sunnyside Community Service, Inc.",718-784-6173,A parent 16 Years Old or Older ,39 20 48th Avenue,11104,40.740088,-73.926214
979,980,After-School Programs,Out of School Time,Bedford Center 2,Brooklyn,The Salvation Army,(212) 337-7254,High School,601 Lafayette Avenue,11216,40.68999,-73.95044
980,981,After-School Programs,Out of School Time,I.S. 126 ALBERT SHANKER SCHOOL,Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",(718) 626-1651,Middle School,31 51 21st Street,11106,40.766264,-73.930709
981,982,After-School Programs,Out of School Time,CONCORD HIGH SCHOOL,Staten Island,New York Center for Interpersonal Development,(718) 947-4136,High School,109 Rhine Ave,10304,40.610867999999996,-74.087379
982,983,"After-School Programs,Summer Program,Summer Camp",Out of School Time,C.S. 102 JOSEPH LORETAN SCHOOL,Bronx,Kips Bay Boys & Girls Club,(718) 893-8600,OST,1827 Archer Street,10460,40.837631,-73.866036
983,984,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Brooklyn Neighborhood Improvement Association,Brooklyn,Brooklyn Neighborhood Improvement Association,718-773-4116,14 to 24,1482 St Johns Place,11213,40.670505,-73.92964
985,986,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Brownsville Community Cent,Brooklyn,The Salvation Army ,(718) 345-7050,OST,280 Riverdale Avenue,11212,40.661364,-73.906124
986,987,After-School Programs,Teen Action Program,MS 210,Queens,"Zeta Zeta Lambda Company, Inc.",718.484.3693 or 917.541.3317,13 to 21,93 11 101st Avenue,11416,40.683858,-73.84747
987,988,After-School Programs,Beacon,IS 131,Manhattan,YMCA Chinatown,212.219.8393,6 and up,100 Hester Street,10002,40.716553000000005,-73.993092
988,989,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 88 SENECA SCHOOL,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,OST,60 85 CATALPA AVENUE,11385,40.703779,-73.896374
989,990,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Be er Hagolah (Elementary),Brooklyn,Be'er Hagolah Institutes,(718) 642-6800,Elementary,671 Louisiana Avenue,11239,40.645638,-73.883643
990,991,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrants,Northern Manhattan Improvement Corporation (NMIC),Manhattan,Northern Manhattan              Improvement Corporation,212-822-8300,All Ages,76 Wadsworth Avenue,10033,40.847012,-73.93704
991,992,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,485 Victory Boulevard,10301,40.630399,-74.088763
992,993,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,NEW UTRECHT HIGH SCHOOL (K445),Brooklyn,BCA 6th Avenue Senior Center,(718) 951-5015, High School,1601 80 Street,11214,40.613262,-74.003404
993,994,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 7 ABRAHAM LINCOLN SCHOOL,Brooklyn,Cypress Hills Local Development Corporation,(718) 235-2345,OST,858 JAMAICA AVENUE,11208,40.689696999999995,-73.873109
994,995,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,1297 Arthur Kill Road,10312,40.565262,-74.183882
995,996,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,"Ridgewood Bushwick Senior Citizens Council, Inc.",Brooklyn,"Ridgewood Bushwick Senior Citizens Council, Inc.",(718) 381-9653,16+,1474 Gates Avenue,11237,40.697788,-73.91390600000001
996,997,After-School Programs,Out of School Time,Lost Battalion Center,Queens,"Queens Community House, Inc",(718) 592-5757,Elem/MS/HS,93 29 Queens Boulevard,11374,40.73147,-73.86604399999999
997,998,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 328 PHILLIS WHEATLEY,Brooklyn,Groundwork Inc.,(718) 346-2200,OST,330 Alabama Avenue,11207,40.668167,-73.897835
999,1000,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Grace Dodge Technical High School,Bronx,"Lt. Joseph P. Kennedy, Jr. Memorial Community Center",(212) 575-7681, High School,2474 Crotona Avenue,10458,40.855698,-73.882715
1000,1001,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Kingsbridge Heights Community Center,Bronx,Project Bridge,(718) 884-0700, High School,3101 Kingsbridge Terrace,10463,40.877505,-73.90033000000001
